time,H2O_ppm,d18O,dD,d_excess,met_temp,met_pressure,met_rh,met_vapor_pressure,met_wspd,met_wdir,rad_sw_down,rad_sw_up,rad_lw_down,rad_lw_up,rad_net,isen_225_ipv,isen_225_gph,isen_500_ipv,isen_500_gph,isen_825_ipv,isen_825_gph,flux_2m_h2o,flux_2m_h2o_density,flux_2m_co2_density,flux_3m_h2o,flux_3m_h2o_density,flux_3m_co2_density,flux_5m_h2o,flux_5m_h2o_density,flux_5m_co2_density,flux_10m_h2o,flux_10m_h2o_density,flux_10m_co2_density,flux_15m_h2o,flux_15m_h2o_density
2023-01-07 06:00:00,4953.040662609734,-31.32153057237552,-241.44277705287868,9.129467526125474,-6.368004763738572,71.7336321195517,93.968205974632,0.3335793619884261,0.844413795806631,152.9530407236657,-0.7037926422363421,-0.7788303297370789,283.84142063500343,283.5170793708571,0.39961561874108087,7.520406174032234e-06,11032.767834071417,2.587685326642081e-07,5627.661209562726,1.3140279718197726e-06,1791.9455761688241,,,,,,,0.06346891607999999,7.3309346,2.50923871,,,,-0.059374521699999995,2.9802624699999996
2023-01-07 07:00:00,5036.1170281261675,-31.52357166645245,-243.07842022976033,9.110153101859284,-6.06449323437294,71.74793181999172,94.09270511600295,0.34277849868637233,0.8737275004803238,227.08004575744096,-0.6273349323689577,-0.8022961718115015,288.3030238373491,285.2954094856118,3.1816513018242243,7.5977305584202785e-06,11031.07360038257,3.245582018518646e-07,5631.179585498012,1.3692615397420279e-06,1796.5061890473073,,,,,,,,,,,,,,
2023-01-07 08:00:00,4883.284895626923,-31.997902511122323,-246.47972173982424,9.503498349154336,-6.582316505011169,71.73655573451752,94.18343353628808,0.3284583760387506,0.8177478909421669,212.422453839319,-0.5094234277825477,-0.9357476405791738,287.19451608451374,282.8334201376619,4.7892581366632045,7.914093273690852e-06,11025.208782109574,3.246480813820894e-07,5630.482796759462,1.3783511587136958e-06,1795.9670061376667,,,,,,,,,,,,,,
2023-01-07 09:00:00,4144.913938681724,-32.460363681601635,-253.33904398245713,6.343865470355938,-8.224724634282119,71.75538850139536,94.84147209710574,0.2876234852045923,0.7655527579950523,157.64656095049148,0.04641644429997214,-1.9067685650898838,262.25457103283156,262.8155327047845,1.395838459263635,8.302560908804505e-06,11021.676462991447,3.050938128295414e-07,5632.16057932851,1.2705446206765127e-06,1796.0421137993962,,,,,,,,,,,,,,
2023-01-07 10:00:00,3943.0816179596263,-32.70248862251314,-255.30846567812517,6.31144330197993,-8.959434866608625,71.77843482593214,92.28780432341215,0.2626176827465897,0.8039914447060105,82.1131172391065,-0.08056887824929322,-1.685866054234798,258.8008402516019,261.4075599347817,-0.9951871837019441,7.695466342832255e-06,11025.484721389294,4.2888987221832315e-07,5636.459340145985,3.2254454875931043e-06,1800.6284429549394,,,,,,,,,,,,,,
2023-01-07 11:00:00,3544.726102324209,-32.99838059512287,-258.5564231858532,5.430621575129721,-9.763708104256622,71.78687526860072,90.95843113632358,0.24158376122374403,0.8324240298577223,66.54859148051482,-0.054551145061623126,-1.885480921541759,251.21470863415146,256.621226976837,-3.5630171621122244,8.057825700334169e-06,11022.503912181806,5.354899989340551e-07,5637.600880540999,3.8818719930014565e-06,1800.5763049491209,,,,,,,,,,,,,-0.00714035995,3.04477916
2023-01-07 12:00:00,3228.1517189013425,-33.19044664891067,-262.06642076294014,3.4571524283452733,-10.77924311114306,71.8257302049527,90.07902134851983,0.21890205861414835,1.0628846592434964,72.4134825247724,0.03461064105641866,-2.0833110175064653,244.654516082918,249.44184467963584,-2.678995048800734,8.285350781704066e-06,11022.239181014278,5.803481645988203e-07,5642.558034923319,4.454520116023049e-06,1805.0083505803282,,,,,,,,,,,,,-0.009223038639000002,4.8536239000000005
2023-01-07 13:00:00,3147.9609057417238,-33.10400052665117,-262.3438540880527,2.4881501251566043,-10.64243525933794,71.88530694164324,89.9726588552662,0.2214732659477813,1.1809967954987883,127.50235713588103,-0.06059042744779898,-1.7966722166039528,247.5551246369113,252.01326976238443,-2.7176650264614275,8.145437976355989e-06,11019.536159266081,5.441532751550286e-07,5645.833781453183,5.459461319786126e-06,1808.10378406522,,,,,,,,,,,,,0.004602388369999999,4.839906569999999
2023-01-07 14:00:00,2777.12993667276,-33.69655375057635,-268.3028422918328,1.2695877127780215,-11.599765817619252,71.92061434504458,89.16507907978972,0.2017366134890209,1.0011389874053924,95.78199231049985,0.36453317703130295,-2.3251142298230034,230.89655941635942,236.82232727294667,-3.2405448166661905,7.754879544699367e-06,11023.267748390017,4.3750135277307043e-07,5654.417906817722,5.678624290092333e-06,1815.9191066137632,,,,,,,,,,,,,0.007598427367,5.3510259300000005
2023-01-07 15:00:00,2455.527823750664,-34.36766125784869,-273.42852669978373,1.5127633630058184,-12.27946741416878,71.96755994504291,86.58816225668632,0.1848635660267879,1.318407194779188,75.5360005609606,17.18434007960416,16.458439581165226,222.6078612132928,230.02142247138465,-6.701898315865509,7.2107899969282865e-06,11023.271630756792,3.153673683666541e-07,5658.553234469479,6.182326430508055e-06,1818.6882388554588,,,,,,,-0.00010789824000000003,3.6572622,1.30585186,-0.00038021048999999996,2.11860698613434,0.5704552,-0.00021753584599999986,5.32878647
